material,import_reliance_pct,import_reliance_source,top_producer,top_producer_share_pct,top_producer_source,us_production_exists,us_production_source,short_term_category,medium_term_category,primary_use,import_reliance_numeric,supply_risk_score,doe_short_term_score,doe_medium_term_score,strategic_alignment_score,production_feasibility_score,composite_score,rank
Rare Earths,>95,USGS MCS 2024,China,70,USGS MCS 2024,True,USGS MCS 2024,Critical,Critical,Magnet,95.0,8.6,10,10,10.0,7.0,8.84,1
Gallium,100,USGS MCS 2024,China,98,USGS MCS 2024,False,USGS MCS 2024,Critical,Critical,Semiconductor,100.0,9.9,10,10,10.0,4.0,8.76,2
Graphite,100,USGS MCS 2024,China,77,USGS MCS 2024,False,USGS MCS 2024,Critical,Critical,Battery,100.0,9.1,10,10,10.0,4.0,8.44,3
Platinum Group,83,USGS MCS 2024,South Africa,72,USGS MCS 2024,True,USGS MCS 2024,Near-Critical,Critical,Fuel Cell,83.0,8.0,7,10,8.5,7.0,8.0,4
Cobalt,67,USGS MCS 2024,DRC,74,USGS MCS 2024,False,USGS MCS 2024,Critical,Critical,Battery,67.0,7.3,10,10,10.0,4.0,7.72,5
Nickel,49,USGS MCS 2024,Indonesia,49,USGS MCS 2024,True,USGS MCS 2024,Near-Critical,Critical,Battery,49.0,5.4,7,10,8.5,7.0,6.96,6
Lithium,>25,USGS MCS 2024,Australia,47,USGS MCS 2024,True,USGS MCS 2024,Near-Critical,Critical,Battery,25.0,4.1,7,10,8.5,7.0,6.44,7
Tungsten,>50,USGS MCS 2024,China,82,USGS MCS 2024,True,USGS MCS 2024,Not-Evaluated,Not-Evaluated,Defense,50.0,6.8,5,5,5.0,7.0,6.12,8
Zinc,77,USGS MCS 2024,China,33,USGS MCS 2024,True,USGS MCS 2024,Not-Evaluated,Not-Evaluated,Galvanizing,77.0,6.2,5,5,5.0,7.0,5.88,9
Manganese,100,USGS MCS 2024,South Africa,37,USGS MCS 2024,False,USGS MCS 2024,Not-Evaluated,Not-Evaluated,Battery,100.0,7.5,5,5,5.0,4.0,5.8,10
Vanadium,58,USGS MCS 2024,China,67,USGS MCS 2024,False,USGS MCS 2024,Not-Evaluated,Not-Evaluated,Grid Storage,58.0,6.6,5,5,5.0,4.0,5.44,11
Copper,46,USGS MCS 2024,Chile,27,USGS MCS 2024,True,USGS MCS 2024,Not-Critical,Near-Critical,EV/Grid,46.0,4.4,4,7,5.5,7.0,5.36,12
Tin,74,USGS MCS 2024,China,31,USGS MCS 2024,False,USGS MCS 2024,Not-Evaluated,Not-Evaluated,Electronics,74.0,5.9,5,5,5.0,4.0,5.16,13
