date,Nickel,Aluminum,Copper,"Iron ore, cfr spot"
,($/mt),($/mt),($/mt),($/dmtu)
1960M01,1631,511.47183227539,715.4,11.42
1960M02,1631,511.47183227539,728.19,11.42
1960M03,1631,511.47183227539,684.94,11.42
1960M04,1631,511.47183227539,723.11,11.42
1960M05,1631,511.47183227539,684.75,11.42
1960M06,1631,511.47183227539,691.59,11.42
1960M07,1631,511.47183227539,702.39,11.42
1960M08,1631,511.47183227539,675.94,11.42
1960M09,1631,511.47183227539,647.06,11.42
1960M10,1631,511.47183227539,612.66,11.42
1960M11,1631,511.47183227539,642.13,11.42
1960M12,1631,511.47183227539,636.91,11.42
1961M01,1711,511.47183227539,606.71,11.02
1961M02,1711,511.47183227539,616.63,11.02
1961M03,1711,511.47183227539,621.26,11.02
1961M04,1711,511.47183227539,631.84,11.02
1961M05,1711,511.47183227539,668.44,11.02
1961M06,1711,511.47183227539,652.12,11.02
1961M07,1711,511.47183227539,633.39,11.02
1961M08,1711,511.47183227539,636.47,11.02
1961M09,1711,511.47183227539,632.72,11.02
1961M10,1711,511.47183227539,630.3,11.02
1961M11,1711,511.47183227539,632.28,11.02
1961M12,1711,511.47183227539,634.85,11.02
1962M01,1761,511.47183227539,635.37,11.01
1962M02,1761,504.85797119141,647.94,11.01
1962M03,1761,496.03948974609,647.5,11.01
1962M04,1761,496.03948974609,645.95,11.01
1962M05,1761,496.03948974609,645.73,11.01
1962M06,1761,496.03948974609,645.51,11.01
1962M07,1761,496.03948974609,645.51,11.01
1962M08,1761,496.03948974609,645.51,11.01
1962M09,1761,496.03948974609,645.51,11.01
1962M10,1761,496.03948974609,645.95,11.01
1962M11,1761,496.03948974609,645.51,11.01
1962M12,1761,496.03948974609,645.73,11.01
1963M01,1741,496.03948974609,645.51,11.02
1963M02,1742,496.03948974609,645.51,11.02
1963M03,1742,496.03948974609,645.51,11.02
1963M04,1741,496.03948974609,645.73,11.02
1963M05,1742,496.03948974609,645.51,11.02
1963M06,1742,496.03948974609,645.73,11.02
1963M07,1741,496.03948974609,645.51,11.02
1963M08,1742,496.03948974609,645.51,11.02
1963M09,1742,496.03948974609,645.51,11.02
1963M10,1741,507.06259155273,645.51,11.02
1963M11,1742,507.06259155273,645.73,11.02
1963M12,1742,507.06259155273,650.14,11.02
1964M01,1741,507.06259155273,655.65,10.24
1964M02,1742,507.06259155273,693.79,10.24
1964M03,1742,524.69946289063,745.16,10.24
1964M04,1741,529.10888671875,861.56,10.24
1964M05,1742,529.10888671875,828.28,10.24
1964M06,1742,529.10888671875,808.43,10.24
1964M07,1741,529.10888671875,854.95,10.24
1964M08,1742,529.10888671875,999.33,10.24
1964M09,1742,529.10888671875,1162.05,10.24
1964M10,1741,529.10888671875,1358.27,10.24
1964M11,1742,529.10888671875,1400.37,10.24
1964M12,1742,540.1318359375,1269.2,10.24
1965M01,1735,540.1318359375,1000.68,10.24
1965M02,1735,540.1318359375,1179.91,10.24
1965M03,1735,540.1318359375,1237.23,10.24
1965M04,1735,540.1318359375,1348.34,10.24
1965M05,1735,540.1318359375,1378.55,15.3
1965M06,1735,540.1318359375,1308.88,10.24
1965M07,1735,540.1318359375,1134.06,10.24
1965M08,1735,540.1318359375,1209.9,10.24
1965M09,1735,540.1318359375,1327.84,10.24
1965M10,1735,540.1318359375,1401.92,10.24
1965M11,1735,540.1318359375,1469.16,10.24
1965M12,1735,540.1318359375,1517.66,10.24
1966M01,1739,540.1318359375,1679.04,9.52
1966M02,1739,540.1318359375,1874.37,9.52
1966M03,1739,540.1318359375,1874.81,9.52
1966M04,1739,540.1318359375,1907.44,9.52
1966M05,1739,540.1318359375,1663.61,9.52
1966M06,1739,540.1318359375,1695.79,9.52
1966M07,1739,540.1318359375,1567.93,9.52
1966M08,1739,540.1318359375,1195.34,9.52
1966M09,1739,540.1318359375,1128.32,9.52
1966M10,1739,540.1318359375,1275.37,9.52
1966M11,1739,540.1318359375,1301.61,9.52
1966M12,1739,540.1318359375,1214.53,9.52
1967M01,1935.7,540.1318359375,1243.85,8.86
1967M02,1935.7,540.1318359375,1220.48,8.86
1967M03,1935.7,540.1318359375,1098.34,8.86
1967M04,1935.7,540.1318359375,994.72,8.86
1967M05,1935.7,540.1318359375,1036.17,8.86
1967M06,1935.7,540.1318359375,1015.22,8.86
1967M07,1935.7,540.1318359375,997.37,8.86
1967M08,1935.7,540.1318359375,1044.55,8.86
1967M09,1935.7,540.1318359375,1060.2,8.86
1967M10,1935.7,540.1318359375,1138.47,8.86
1967M11,1935.7,540.1318359375,1443.81,8.86
1967M12,1935.7,540.1318359375,1324.09,8.86
