material,import_reliance_2023,top_import_source,top_source_share_pct,source_file
Lithium,>25,Argentina,51,mcs2024-lithium.pdf
Cobalt,67,Norway,25,mcs2024-cobalt.pdf
Nickel,49,Canada,46,mcs2024-nickel.pdf
Graphite,100,Mexico,16,mcs2024-graphite.pdf
Manganese,100,Gabon,62,mcs2024-manganese.pdf
Rare Earths,>95,Malaysia,11,mcs2024-rare-earths.pdf
Copper,46,Finland,93,mcs2024-copper.pdf
Platinum Group,83,Russia,32,mcs2024-platinum-group.pdf
Gallium,100,Japan,26,mcs2024-gallium.pdf
Vanadium,58,Canada,46,mcs2024-vanadium.pdf
Tin,74,Peru,27,mcs2024-tin.pdf
Tungsten,>50,Germany,12,mcs2024-tungsten.pdf
Zinc,77,Peru,67,mcs2024-zinc.pdf
